year,make,model,display_trim,bolt_pattern,center_bore_mm,thread_size,offset_min,offset_max,diameter_min,diameter_max,width_min,width_max,wheel_count,source,issue_types,issue_details
2018,"hyundai","tucson","SE, SEL, XRT, Limited, N Line","5x114.3",67.1,"M12x1.5",45,55,17,20,7,8.5,6,"cache-import","sibling_aggregation","Multiple trims grouped: SE, SEL, XRT, Limited, N Line"
2018,"infiniti","q50","Pure, Luxe, Sensory, Red Sport 400","5x114.3",66.1,"M12x1.25",30,50,17,19,7,8,3,"cache-import","sibling_aggregation","Multiple trims grouped: Pure, Luxe, Sensory, Red Sport 400"
2018,"infiniti","q60","Pure, Luxe, Sensory, Red Sport 400","5x114.3",66.1,"M12x1.25",30,50,18,19,7.5,8,2,"cache-import","sibling_aggregation","Multiple trims grouped: Pure, Luxe, Sensory, Red Sport 400"
2018,"infiniti","qx50","Luxe, Essential, Sensory, Autograph","5x114.3",66.1,"M12x1.25",40,50,19,20,8.5,9,2,"luxury-gap-fill","sibling_aggregation","Multiple trims grouped: Luxe, Essential, Sensory, Autograph"
2018,"infiniti","qx60","Pure, Luxe, Sensory, Autograph","5x114.3",66.1,"M12x1.25",35,55,18,21,7.5,9,4,"cache-import","sibling_aggregation","Multiple trims grouped: Pure, Luxe, Sensory, Autograph"
2018,"infiniti","qx80","Luxe, Premium Select, Sensory","6x139.7",78.1,"M14x1.5",20,45,20,22,8,9,4,"cache-import","sibling_aggregation; suspicious_bolt_pattern","Multiple trims grouped: Luxe, Premium Select, Sensory; Bolt pattern 6x139.7 unexpected for infiniti (expected: 5x114.3, 5x120)"
2018,"jaguar","e-pace","S, SE, HSE, R-Dynamic","5x108",63.4,"M12x1.5",40,50,17,19,7.5,8,3,"luxury-gap-fill","sibling_aggregation","Multiple trims grouped: S, SE, HSE, R-Dynamic"
2018,"jaguar","f-pace","Premium, Prestige, R-Dynamic, S, SVR","5x108",63.4,"M14x1.5",27,55,19,20,8.5,8.5,2,"api_import","sibling_aggregation","Multiple trims grouped: Premium, Prestige, R-Dynamic, S, SVR"
2018,"jaguar","f-type","Base","5x108",63.4,"M12x1.5",27,55,18,20,8,10.5,7,"api_import","plausible_shared","Multiple specs with reasonable spread"
2018,"jaguar","xe","Premium, Prestige, R-Dynamic, S","5x108",63.4,"M12x1.5",27,55,18,19,7.5,8,2,"api_import","sibling_aggregation","Multiple trims grouped: Premium, Prestige, R-Dynamic, S"
2018,"jaguar","xf","Premium, Prestige, R-Dynamic, S","5x108",63.4,"M12x1.5",27,55,17,20,7.5,8.5,4,"api_import","sibling_aggregation","Multiple trims grouped: Premium, Prestige, R-Dynamic, S"
2018,"jaguar","xj","XJ, XJL, XJR, Supersport","5x108",63.4,"M12x1.5",27,55,,,,,0,"api_import","missing_wheel_specs; sibling_aggregation","No OEM wheel sizes defined; Multiple trims grouped: XJ, XJL, XJR, Supersport"
2018,"jeep","cherokee","Base","5x110",65.1,"M12x1.5",35,52,17,20,7,8,6,"cache-import","suspicious_bolt_pattern","Bolt pattern 5x110 unexpected for jeep (expected: 5x127, 5x114.3, 6x139.7, 5x5)"
2018,"jeep","compass","Sport, Latitude, Trailhawk, Limited, High Altitude","5x110",65.1,"M12x1.5",38,50,16,19,6.5,8,7,"cache-import","sibling_aggregation; suspicious_bolt_pattern","Multiple trims grouped: Sport, Latitude, Trailhawk, Limited, High Altitude; Bolt pattern 5x110 unexpected for jeep (expected: 5x127, 5x114.3, 6x139.7, 5x5)"
2018,"jeep","grand-cherokee","3.0 TD","5x127",71.6,"M14 x 1.5",55,56.4,17,20,8,8,4,"railway_import","exact_safe","Specs within expected ranges"
2018,"jeep","grand-cherokee","Altitude","5x127",71.5,"M14x1.5",-25,56.4,18,18,8,8,1,"generation_inherit","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","grand-cherokee","Base","5x127",71.5,"M14x1.5",35,56,17,20,7,8.5,3,"cache-import","exact_safe","Specs within expected ranges"
2018,"jeep","grand-cherokee","Laredo","5x127",71.5,"M14x1.5",-25,56.4,17,17,8,8,1,"generation_inherit","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","grand-cherokee","Limited","5x127",71.5,"M14x1.5",-25,56.4,18,18,8,8,1,"generation_inherit","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","grand-cherokee","Overland","5x127",71.5,"M14x1.5",-25,56.4,18,20,8,8,2,"generation_inherit","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","grand-cherokee","SRT","5x127",71.5,"M14x1.5",-25,56.4,20,20,10,10,1,"generation_inherit","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","grand-cherokee","Summit","5x127",71.5,"M14x1.5",-25,56.4,20,20,8,8,1,"generation_inherit","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","grand-cherokee","Trackhawk","5x127",71.5,"M14x1.5",-25,56.4,20,20,10,10,1,"generation_inherit","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","grand-cherokee","Trailhawk","5x127",71.5,"M14x1.5",-25,56.4,18,18,8,8,1,"generation_inherit","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","renegade","Sport, Latitude, Trailhawk, Limited","5x110",65.1,"M12x1.5",38,50,16,19,6.5,8,4,"cache-import","sibling_aggregation; suspicious_bolt_pattern","Multiple trims grouped: Sport, Latitude, Trailhawk, Limited; Bolt pattern 5x110 unexpected for jeep (expected: 5x127, 5x114.3, 6x139.7, 5x5)"
2018,"jeep","wrangler","Base","5x127",71.5,"M14x1.5",-25,45,16,20,7,9,11,"cache-import","exact_safe","Specs within expected ranges"
2018,"jeep","wrangler","Rubicon","5x127",71.5,"M14x1.5",-25,56.4,17,17,7.5,7.5,1,"cleanup_cache-import","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","wrangler","Rubicon","5x127",71.5,"M14x1.5",-25,56.4,17,17,7.5,7.5,1,"cleanup_cache-import","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","wrangler","Rubicon Hard Rock","5x127",71.5,"M14x1.5",-25,56.4,17,17,7.5,7.5,1,"cleanup_cache-import","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","wrangler","Sahara","5x127",71.5,"M14x1.5",-25,56.4,18,18,7.5,7.5,1,"cleanup_cache-import","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","wrangler","Sahara","5x127",71.5,"M14x1.5",-25,56.4,18,18,7.5,7.5,1,"cleanup_cache-import","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","wrangler","Sport","5x127",71.5,"M14x1.5",-25,56.4,17,17,7.5,7.5,1,"cleanup_cache-import","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","wrangler","Sport","5x127",71.5,"M14x1.5",-25,56.4,16,16,7,7,1,"cleanup_cache-import","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","wrangler","Sport S","5x127",71.5,"M14x1.5",-25,56.4,17,17,7.5,7.5,1,"cleanup_cache-import","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","wrangler","Sport S","5x127",71.5,"M14x1.5",-25,56.4,17,17,7.5,7.5,1,"cleanup_cache-import","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"jeep","wrangler","Willys","5x127",71.5,"M14x1.5",-25,56.4,17,17,7.5,7.5,1,"cleanup_cache-import","offset_range_too_broad","81.4mm offset spread (-25mm to 56.4mm)"
2018,"kia","forte","FE, LXS, GT-Line, GT","5x114.3",67.1,"M12x1.5",40,52,15,17,6,7,3,"cache-import","sibling_aggregation","Multiple trims grouped: FE, LXS, GT-Line, GT"
2018,"kia","k5","LX, LXS, GT-Line, EX, GT","5x114.3",67.1,"M12x1.5",45,55,16,18,6.5,7.5,3,"cache-import","sibling_aggregation","Multiple trims grouped: LX, LXS, GT-Line, EX, GT"
2018,"kia","niro","LX, EX, EX Premium, SX Touring","5x114.3",67.1,"M12x1.5",40,52,16,18,6.5,7.5,2,"manual_seed_spec","sibling_aggregation","Multiple trims grouped: LX, EX, EX Premium, SX Touring"
2018,"kia","optima","EX/SX","5x114.3",67.1,"M12x1.5",41,52,17,18,7,7.5,2,"batch2v2-trim-groups","plausible_shared","Multiple specs with reasonable spread"
2018,"kia","optima","LX/Hybrid","5x114.3",67.1,"M12x1.5",41,52,16,17,6.5,7,2,"batch2v2-trim-groups","plausible_shared","Multiple specs with reasonable spread"
2018,"kia","rio","LX/S/EX","4x100",54.1,"M12x1.5",35,50,15,17,6,7,2,"batch7-subcompacts-final","plausible_shared","Multiple specs with reasonable spread"
2018,"kia","sedona","EX/SX","5x114.3",67.1,"M12x1.5",35,50,18,18,7,7,1,"batch6-minivans-evs","exact_safe","Single exact wheel spec"
2018,"kia","sedona","LX","5x114.3",67.1,"M12x1.5",35,50,17,17,6.5,6.5,1,"batch6-minivans-evs","exact_safe","Single exact wheel spec"
2018,"kia","sorento","LX, S, EX, SX, SX Prestige, X-Line","5x114.3",67.1,"M12x1.5",40,55,17,19,7,8,3,"cache-import","sibling_aggregation","Multiple trims grouped: LX, S, EX, SX, SX Prestige, X-Line"
