year,make,model,n_rows,our_union,tried,other_years_matched
2024,buick,electra-e5,1,235/40R19,Electra E5 | Electra,false
2025,buick,electra-e5,1,235/40R19,Electra E5 | Electra,false
2026,buick,electra-e5,1,235/40R19,Electra E5 | Electra,false
2007,buick,enclave,1,255/65R18 255/55R20,Enclave,true
2012,buick,encore,1,205/65R16 215/55R18,Encore,true
2023,buick,encore,1,205/65R16 215/55R18,Encore,true
2024,buick,encore,1,205/65R16 215/55R18,Encore,true
2025,buick,encore,1,205/65R16 215/55R18,Encore,true
2026,buick,encore,1,205/65R16 215/55R18,Encore,true
2014,buick,envision,1,225/65R17 235/55R19 245/45R20,Envision,true
2015,buick,envision,1,225/65R17 235/55R19 245/45R20,Envision,true
2020,buick,lacrosse,1,235/50R18 245/40R19,Lacrosse,true
2021,buick,lacrosse,1,235/50R18 245/40R19,Lacrosse,true
2022,buick,lacrosse,1,235/50R18 245/40R19,Lacrosse,true
2023,buick,lacrosse,1,235/50R18 245/40R19,Lacrosse,true
2024,buick,lacrosse,1,235/50R18 245/40R19,Lacrosse,true
2025,buick,lacrosse,1,235/50R18 245/40R19,Lacrosse,true
2026,buick,lacrosse,1,235/50R18 245/40R19,Lacrosse,true
2005,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2006,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2007,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2008,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2009,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2010,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2021,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2022,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2023,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2024,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2025,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2026,buick,regal,1,225/55R17 245/45R18 245/40R19,Regal | Regal Sportback | Regal TourX | Regalsportback | Regaltourx,true
2011,buick,verano,1,215/60R16 225/50R17 235/45R18,Verano,true
2019,buick,verano,1,215/60R16 225/50R17 235/45R18,Verano,true
2020,buick,verano,1,215/60R16 225/50R17 235/45R18,Verano,true
2021,buick,verano,1,215/60R16 225/50R17 235/45R18,Verano,true
2022,buick,verano,1,215/60R16 225/50R17 235/45R18,Verano,true
2024,cadillac,celestiq,1,275/35R23,Celestiq,false
2025,cadillac,celestiq,1,275/35R23,Celestiq,false
2026,cadillac,celestiq,1,275/35R23,Celestiq,false
2021,cadillac,ct6,1,235/55R18 245/45R19 265/35R20,CT6,true
2022,cadillac,ct6,1,235/55R18 245/45R19 265/35R20,CT6,true
2023,cadillac,ct6,1,235/55R18 245/45R19 265/35R20,CT6,true
2024,cadillac,ct6,1,235/55R18 245/45R19 265/35R20,CT6,true
2025,cadillac,ct6,1,235/55R18 245/45R19 265/35R20,CT6,true
2001,cadillac,escalade,6,265/70R17 255/70R17,Escalade | Escalade Luxury,true
2025,cadillac,vistiq,1,265/40R21,Vistiq,true
2021,chevrolet,bolt-euv,2,215/50R17,Bolt EUV | Bolt,true
2017,chevrolet,caprice,1,235/50R18 245/45R19,Caprice | Capriceppv,true
2013,chevrolet,colorado,6,235/75R16 265/70R17,Colorado | Colorado LT | Colorado Trail Boss | Colorado Trail | Colorado WT | Colorado Z71 | Colorado ZR2 | Colorado 2.4i,true
2014,chevrolet,colorado,6,235/75R16 265/70R17,Colorado | Colorado LT | Colorado Trail Boss | Colorado Trail | Colorado WT | Colorado Z71 | Colorado ZR2 | Colorado 2.4i,true
2026,chevrolet,malibu,5,205/65R16 225/55R17 245/45R18 245/40R19,Malibu | Malibuclassic | Malibumaxx | Malibu LS | Malibu LT | Malibu Premier | Malibu RS,true
2015,chevrolet,silverado-3500,1,245/75R16 265/70R17 275/70R18,Silverado 3500 HD | Silverado 3500 | C3500 | K3500 | Silverado,true
2016,chevrolet,silverado-3500,1,245/75R16 265/70R17 275/70R18,Silverado 3500 HD | Silverado 3500 | C3500 | K3500 | Silverado,true
2005,chevrolet,spark,1,185/55R15 195/50R16,Spark | Sparkev,true
2006,chevrolet,spark,1,185/55R15 195/50R16,Spark | Sparkev,true
2007,chevrolet,spark,1,185/55R15 195/50R16,Spark | Sparkev,true
2008,chevrolet,spark,1,185/55R15 195/50R16,Spark | Sparkev,true
2009,chevrolet,spark,1,185/55R15 195/50R16,Spark | Sparkev,true
2010,chevrolet,spark,1,185/55R15 195/50R16,Spark | Sparkev,true
2011,chevrolet,spark,1,185/55R15 195/50R16,Spark | Sparkev,true
2012,chevrolet,spark,1,185/55R15 195/50R16,Spark | Sparkev,true
2023,chevrolet,spark,1,185/55R15 195/50R16,Spark | Sparkev,true
1992,chevrolet,tahoe,7,235/75R15 245/75R16 265/70R16,Tahoe | Tahoehybrid | Tahoe 1500 | Tahoe High Country | Tahoe High | Tahoe LS | Tahoe LT | Tahoe Premier | Tahoe RST | Tahoe Z71,true
1993,chevrolet,tahoe,7,235/75R15 245/75R16 265/70R16,Tahoe | Tahoehybrid | Tahoe 1500 | Tahoe High Country | Tahoe High | Tahoe LS | Tahoe LT | Tahoe Premier | Tahoe RST | Tahoe Z71,true
1994,chevrolet,tahoe,7,235/75R15 245/75R16 265/70R16,Tahoe | Tahoehybrid | Tahoe 1500 | Tahoe High Country | Tahoe High | Tahoe LS | Tahoe LT | Tahoe Premier | Tahoe RST | Tahoe Z71,true
2001,chevrolet,trailblazer,1,245/70R16 245/65R17 245/60R18,Trailblazer | Trailblazerext,true
2013,chevrolet,trailblazer,1,215/55R17 225/55R18 235/45R19,Trailblazer | Trailblazerext,true
2014,chevrolet,trailblazer,1,245/70R16 265/60R18,Trailblazer | Trailblazerext | Trailblazer 2.8 D | Trailblazer 2.8,true
2015,chevrolet,trailblazer,1,215/55R17 225/55R18 235/45R19,Trailblazer | Trailblazerext,true
2016,chevrolet,trailblazer,1,215/55R17 225/55R18 235/45R19,Trailblazer | Trailblazerext,true
2017,chevrolet,trailblazer,1,215/55R17 225/55R18 235/45R19,Trailblazer | Trailblazerext,true
2019,chevrolet,trailblazer,1,215/55R17 225/55R18 235/45R19,Trailblazer | Trailblazerext,true
2020,chevrolet,trailblazer,1,225/60R17 215/65R16 225/55R18,Trailblazer | Trailblazerext | Trailblazer 1.2T,true
2013,chevrolet,trax,1,205/70R16 215/55R18,Trax,true
2014,chevrolet,trax,1,205/70R16 215/55R18,Trax,true
2023,chevrolet,trax,1,205/70R16 205/65R17 215/55R18,Trax,true
2010,chevrolet,volt,1,215/55R17 215/50R17,Volt,true
2010,chrysler,200,1,215/55R17 235/45R18 235/40R19,200,true
2004,chrysler,300,1,215/65R17 235/55R18 245/45R19 245/45R20,300 | 300 C | 300 S,true
2024,chrysler,300,5,235/55R19 225/60R18 215/65R17 245/45R20,300 | 300 C | 300 S | 300 300C | 300 300S | 300 Touring | 300 Touring L | 300 L,true
2025,chrysler,300,5,245/45R20 225/60R18 215/65R17 235/55R19,300 | 300 C | 300 S | 300 300C | 300 300S | 300 Touring | 300 Touring L | 300 L,true
2026,chrysler,300,5,215/65R17 225/60R18 235/55R19 245/45R20,300 | 300 C | 300 S | 300 300C | 300 300S | 300 Touring | 300 Touring L | 300 L,true
2003,chrysler,crossfire,1,225/40R18 255/35R19,Crossfire,true
1990,chrysler,dynasty,1,195/70R14 205/70R14,Dynasty,false
1991,chrysler,dynasty,1,195/70R14 205/70R14,Dynasty,false
1992,chrysler,dynasty,1,195/70R14 205/70R14 205/65R15,Dynasty,false
1993,chrysler,dynasty,1,195/70R14 205/70R14 205/65R15,Dynasty,false
1990,chrysler,fifth-avenue,1,195/70R14 205/70R14,Fifth Avenue | Newyorkerfifthavenue,false
1991,chrysler,fifth-avenue,1,195/70R14 205/70R14 205/65R15,Fifth Avenue | Newyorkerfifthavenue,false
1992,chrysler,fifth-avenue,1,195/70R14 205/70R14 205/65R15,Fifth Avenue | Newyorkerfifthavenue,false
