bp,make,model,years,yearFrom,yearTo,bolt,stud,bore,torqueMin,torqueMax,offset,reason
"4 X 4.5","INFINITI","M30","1990-92","1990","1992","4 X 4.5","12 X 1.25","66.1","75","85","","model-not-matched"
"4 X 4.5","KIA","IMAGE","2001-03","2001","2003","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","KIA","SPECTRA EX, SX, SPECTRA 5","2005-08","2005","2008","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","MAZDA","323","1986-89","1986","1989","4 X 4.5","12 X 1.5","59.6","75","85","","model-not-matched"
"4 X 4.5","MAZDA","323 9","1986-89","1986","1989","4 X 4.5","12 X 1.5","59.6","75","85","","model-not-matched"
"4 X 4.5","MAZDA","GLC","1982-85","1982","1985","4 X 4.5","12 X 1.5","59.6","75","85","","model-not-matched"
"4 X 4.5","MAZDA","RX7 GSL/SE","1984-88","1984","1988","4 X 4.5","12 X 1.5","59.6","75","85","","model-not-matched"
"4 X 4.5","MERCURY","CAPRI","1991-94","1991","1994","4 X 4.5","12 X 1.5","59.6","75","85","","model-not-matched"
"4 X 4.5","MERCURY","TRACER","1988-90","1988","1990","4 X 4.5","12 X 1.5","59.6","75","85","","model-not-matched"
"4 X 4.5","MITSUBISHI","CORDIA, TREDIA","1983-88","1983","1988","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","MITSUBISHI","CORDIA, TREDIA","1983-88","1983","1988","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","MITSUBISHI","CORDIA, TREDIA","1986-88","1986","1988","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","MITSUBISHI","CORDIA, TREDIA","1986-88","1986","1988","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","MITSUBISHI","EXPO","1991-95","1991","1995","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","MITSUBISHI","PRECIS","1983-93","1983","1993","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","MITSUBISHI","PRECIS 3","1983-93","1983","1993","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","MITSUBISHI","STARION","1983-87","1983","1987","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","NISSAN","200SX & TURBO","1984-88","1984","1988","4 X 4.5","12 X 1.25","66.1","75","85","","model-not-matched"
"4 X 4.5","NISSAN","240Z, 260Z, 280Z","1970-85","1970","1985","4 X 4.5","12 X 1.25","66.1","75","85","","model-not-matched"
"4 X 4.5","NISSAN","AXXESS","1990 >","1990","2027","4 X 4.5","12 X 1.25","66.1","75","85","","model-not-matched"
"4 X 4.5","NISSAN","STANZA","1979-83","1979","1983","4 X 4.5","12 X 1.25","66.1","75","85","","model-not-matched"
"4 X 4.5","NISSAN","STANZA","1987-92","1987","1992","4 X 4.5","12 X 1.25","66.1","75","85","","model-not-matched"
"4 X 4.5","NISSAN","STANZA 87-92","1987-92","1987","1992","4 X 4.5","12 X 1.25","66.1","75","85","","model-not-matched"
"4 X 4.5","PLYMOUTH","VISTA","1985-94","1985","1994","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","STERLING","825, 827","1987-91","1987","1991","4 X 4.5","12 X 1.5","64.1","75","85","","make-not-in-db"
"4 X 4.5","TOYOTA","CRESSIDA","1985-88","1985","1988","4 X 4.5","12 X 1.5","60.1","75","85","","model-not-matched"
"4 X 4.5","TOYOTA","VAN WAGON 2WD","1984-90","1984","1990","4 X 4.5","12 X 1.5","","75","85","","model-not-matched"
"4 X 4.5","VOLVO","40 SERIES","1998-03","1998","2003","4 X 4.5","12 X 1.5b","67","75","85","","model-not-matched"
"4 X 4.5","VOLVO","40 SERIES","2004 >","2004","2027","4 X 4.5","12 X 1.5b","67","75","85","","model-not-matched"
"4 X 130","Honda Sport","ATC110","1982-83","1982","1983","4 X 130","","","","","","make-not-in-db"
"4 X 130","Honda Sport","ATC110","1984-85","1984","1985","4 X 130","","","","","","make-not-in-db"
"4 X 130","Honda Sport","ATC125M","1984-85","1984","1985","4 X 130","","","","","","make-not-in-db"
"4 X 130","Honda Sport","ATC125M","1986-87","1986","1987","4 X 130","","","","","","make-not-in-db"
"4 X 130","Honda Sport","ATC185","1980","1980","1980","4 X 130","","","","","","make-not-in-db"
"4 X 130","Honda Sport","ATC185S","1982-83","1982","1983","4 X 130","","","","","","make-not-in-db"
"4 X 130","Honda Sport","ATC200S","1984-86","1984","1986","4 X 130","","","","","","make-not-in-db"
"4 X 130","Honda Sport","ATC250R","1982","1982","1982","4 X 130","","","","","","make-not-in-db"
"4 X 130","Honda Sport","FL250 Odyssey","1982-84","1982","1984","4 X 130","","","","","","make-not-in-db"
"4 X 130","Porsche","914","1971-82","1971","1982","4 X 130","","","","","","model-not-matched"
"4 X 130","VOLKSWAGEN","Karmann Ghia","1967-1974","1967","1974","4 X 130","12 X 1.5","","75","85","","model-not-matched"
"4 X 130","VOLKSWAGEN","SUPER BEETLE","1971-1979","1971","1979","4 X 130","12 X 1.5","","75","85","","model-not-matched"
"4 X 137","Can-AM Bombardier","330 H.O. 2x4/4x4 Outlander","2004-05","2004","2005","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","400 H.O. 2x4 Outlander","2004-05","2004","2005","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","400 H.O. 4x4","2003-05","2003","2005","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","400 H.O. 4x4","2006","2006","2006","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","400 H.O. 4x4/4x4 XT Max","2004-06","2004","2006","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","400 Outlander HO Max 4x4","2004-06","2004","2006","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","400 Outlander HO Max 4x4","2007-08","2007","2008","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","400 Outlander HO/XT","2007-08","2007","2008","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","500 Outlander HO EFI XT, Max XT","2007-09","2007","2009","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","500 Outlander HO EFI/Max","2007-09","2007","2009","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","650 HO EFI 4x4/XT","2007-08","2007","2008","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","650 Outlander HO Max 4x4","2007-08","2007","2008","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","650 Outlander HO Max/EFI","2007-08","2007","2008","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","800 Outlander HO EFI/XT","2007-08","2007","2008","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","800 Outlander HO Max All","2007-08","2007","2008","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","800 Renegade","2007-09","2007","2009","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","Outlander 650 H.O. EFI/XT/Max","2006","2006","2006","4 X 137","","","","","","make-not-in-db"
"4 X 137","Can-AM Bombardier","Outlander 800 H.O. EFI","2006","2006","2006","4 X 137","","","","","","make-not-in-db"
"4 X 140","SUBARU","LOYALE","1990-93","1990","1993","4 X 140","12 X 1.25","93","75","85","","model-not-matched"
"4 X 140","SUBARU","LOYALE 4WD","1991-94","1991","1994","4 X 140","12 X 1.25","93","75","85","","model-not-matched"
"4 X 143","Can-AM Bombardier","650X DS","2007","2007","2007","4 X 143","","","","","","make-not-in-db"
"4 X 144","Can-AM Bombardier","DS450 X","2008-09","2008","2009","4 X 144","","","","","","make-not-in-db"
"4 X 144","Can-AM Bombardier","DS650","2000-02","2000","2002","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX250EX","2001-09","2001","2009","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX250R","1986-89","1986","1989","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX250R Fourtrax","1988-89","1988","1989","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX300EX Fourtrax","1993-00","1993","2000","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX300EX Sportrax","2001-09","2001","2009","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX400EX","2006-09","2006","2009","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX450ER, TRX450R Kick Start","2004-05","2004","2005","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX450ER, TRX450R, Electric Start","2008-09","2008","2009","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX450ER, TRX450R, Kick Start","2006-07","2006","2007","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX450ER, TRX450R, Kick Start","2008-09","2008","2009","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX450ER. TRX450R, Electric Start","2006-07","2006","2007","4 X 144","","","","","","make-not-in-db"
"4 X 144","Honda Sport","TRX700XX","2008-09","2008","2009","4 X 144","","","","","","make-not-in-db"
"4 X 150","Honda Sport","ATC200","1981","1981","1981","4 X 150","","","","","","make-not-in-db"
"4 X 150","Honda Sport","ATC200","1982-83","1982","1983","4 X 150","","","","","","make-not-in-db"
"4 X 150","Honda Sport","ATC200E Big Red","1982-83","1982","1983","4 X 150","","","","","","make-not-in-db"
"4 X 150","Honda Sport","ATC200E Big Red","1984","1984","1984","4 X 150","","","","","","make-not-in-db"
"4 X 150","Honda Sport","ATC200M","1984-85","1984","1985","4 X 150","","","","","","make-not-in-db"
"4 X 150","Honda Sport","TRX200 Fourtrax","1984","1984","1984","4 X 150","","","","","","make-not-in-db"
"5 X 98","ALFA ROMEO","164","1990 >","1990","2027","5 X 98","12 X 1.25","","75","85","","make-not-in-db"
"5 X 98","ALFA ROMEO","GTV-6/ MILANO","1981-86","1981","1986","5 X 98","12 X 1.25","","75","85","","make-not-in-db"
"5 X 100","BUICK","SKYHAWK","1981 >","1981","2027","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","BUICK","SOMERSET RGL","1985-87","1985","1987","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","CADILLAC","CIMMARON","1981-88","1981","1988","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","CHEVROLET","CELEBRITY","1980-89","1980","1989","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","CHEVROLET","CITATION","1980-86","1980","1986","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","CHEVROLET/GMC","BERETTA","1987 >","1987","2027","5 X 100","12 X 1.5","57.1","75","85","","make-not-in-db"
"5 X 100","CHEVROLET/GMC","CAVALIER","1980 >","1980","2027","5 X 100","12 X 1.5","57.1","75","85","","make-not-in-db"
"5 X 100","CHEVROLET/GMC","CELEBRITY","1980-89","1980","1989","5 X 100","12 X 1.5","57.1","75","85","","make-not-in-db"
"5 X 100","CHEVROLET/GMC","CITATION","1980-86","1980","1986","5 X 100","12 X 1.5","57.1","75","85","","make-not-in-db"
"5 X 100","CHEVROLET/GMC","CORSICA","1987 >","1987","2027","5 X 100","12 X 1.5","57.1","75","85","","make-not-in-db"
"5 X 100","CHRYSLER","LASER, GTS","1986-89","1986","1989","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","DODGE","ARIES","1986-89","1986","1989","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","DODGE","DAYTONA","1985-93","1985","1993","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","DODGE","LANCER","1985-89","1985","1989","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","DODGE","LANCER TURBO","1986-89","1986","1989","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","OLDSMOBILE","ACHIEVA","1992 >","1992","2027","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","OLDSMOBILE","ACHIEVA S, SC, SL","1992-97","1992","1997","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","OLDSMOBILE","CALAIS","1988-90","1988","1990","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","OLDSMOBILE","FIRENZA","1982-88","1982","1988","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","OLDSMOBILE","OMEGA","1980-85","1980","1985","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PLYMOUTH","CARAVELLE, LE","1985-89","1985","1989","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PLYMOUTH","RELIANT","1986-89","1986","1989","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PONTIAC","6000","1982-89","1982","1989","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PONTIAC","FIERO","1984-88","1984","1988","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PONTIAC","J-2000, 6000","1982-84","1982","1984","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PONTIAC","J-2000, 6000","1982-84","1982","1984","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PONTIAC","PHOENIX","1983-84","1983","1984","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PONTIAC","SUNBIRD","1985-89","1985","1989","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PONTIAC","SUNBIRD","1985-97","1985","1997","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PONTIAC","VIBE","2003 >","2003","2027","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","PONTIAC","VIBE","2003-08","2003","2008","5 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"5 X 100","SAAB","9 2X AWD","2005-06","2005","2006","5 X 100","12 X 1.25","56.1","75","85","","model-not-matched"
"5 X 100","SAAB","9-2X","2005 >","2005","2027","5 X 100","","56.1","","","","model-not-matched"
"5 X 100","SCION","XD","2008","2008","2008","5 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"5 X 100","TOYOTA","CORONA","1991-97","1991","1997","5 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"5 X 100","TOYOTA","MAINLINE","1992-95","1992","1995","5 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"5 X 100","TOYOTA","MATRIX","2003 >","2003","2027","5 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"5 X 100","TOYOTA","MATRIX","2003-08","2003","2008","5 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"5 X 100","VOLKSWAGEN","CORRADO V-6 (LARGER CALIPERS)","1993-94","1993","1994","5 X 100","14 X 1.5b","57.1","85","95","","model-not-matched"
"5 X 100","VOLKSWAGEN","CORRADO V-6 (LARGER CALIPERS)","1993-94","1993","1994","5 X 100","14 X 1.5b","57.1","85","95","","model-not-matched"
"5 X 4","PLYMOUTH","Scamp, Duster, Valiant (w/o disc brakes)","1971-75","1971","1975","5 X 4","","","","","","model-not-matched"
"5 X 4","PLYMOUTH","Barracuda, Cuda, Duster, Valiant","1963-72","1963","1972","5 X 4","","","","","","model-not-matched"
"5 X 108","AMC EAGLE","PREMIER, ES","1988-92","1988","1992","5 X 108","12 X 1.5","","75","85","","make-not-in-db"
"5 X 108","FORD","FREESTAR","2004 >","2004","2027","5 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"5 X 108","FORD","FREESTAR","2004-07","2004","2007","5 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"5 X 108","FORD","T-BIRD","2002-06","2002","2006","5 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"5 X 108","JAGUAR","XKR","2007-08","2007","2008","5 X 108","12 X 1.5","63.8","75","85","","model-not-matched"
"5 X 108","LAND ROVER","LR2","2008","2008","2008","5 X 108","14 X 1.5","63.4","85","95","","make-not-in-db"
"5 X 108","MERCURY","MONTEREY","2004 >","2004","2027","5 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"5 X 108","MERCURY","MONTEREY","2004-07","2004","2007","5 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"5 X 108","VOLVO","200 SERIES","1979-94","1979","1994","5 X 108","1/2-RH","65.1","75","85","","model-not-matched"
"5 X 108","VOLVO","60 SERIES","2001 >","2001","2027","5 X 108","14 X 1.5b","65.1","85","95","","model-not-matched"
"5 X 108","VOLVO","60 SERIES","2001-08","2001","2008","5 X 108","14 X 1.5b","65.1","85","95","","model-not-matched"
"5 X 108","VOLVO","70 SERIES","1997 >","1997","2027","5 X 108","12 X 1.75b","65.1","75","85","","model-not-matched"
"5 X 108","VOLVO","70 SERIES","1997-08","1997","2008","5 X 108","12 X 1.75b","65.1","75","85","","model-not-matched"
"5 X 108","VOLVO","740","1985-92","1985","1992","5 X 108","12 X 1.5","65.1","75","85","","model-not-matched"
"5 X 108","VOLVO","760","1983-90","1983","1990","5 X 108","12 X 1.5b","65.1","75","85","","model-not-matched"
"5 X 108","VOLVO","780","1983-91","1983","1991","5 X 108","12 X 1.5b","65.1","75","85","","model-not-matched"
"5 X 108","VOLVO","80 SERIES","1997 >","1997","2027","5 X 108","14 X 1.5b","65.1","85","95","","model-not-matched"
"5 X 108","VOLVO","80 SERIES 1","1997-08","1997","2008","5 X 108","14 X 1.5b","65.1","85","95","","model-not-matched"
"5 X 108","VOLVO","90 SERIES","1997 >","1997","2027","5 X 108","12 X 1.5b","65.1","75","85","","model-not-matched"
"5 X 108","VOLVO","C30","2008","2008","2008","5 X 108","12 X 1.5","65.1","75","85","","model-not-matched"
"5 X 108","VOLVO","V70XC","2003 >","2003","2027","5 X 108","14 X 1.5b","65.1","85","95","","model-not-matched"
"5 X 108","VOLVO","XC70","2001-08","2001","2008","5 X 108","14 X 1.5b","65.1","85","95","","model-not-matched"
"5 X 108","VOLVO","XR70","2001-05","2001","2005","5 X 108","14 X 1.5b","65.1","85","95","","model-not-matched"
"5 X 110","CHEVROLET","COBALT SS, SPORT","2005-08","2005","2008","5 X 110","12 X 1.5","65.1","75","85","","model-not-matched"
"5 X 110","CHEVROLET","HHR","2006-08","2006","2008","5 X 110","12 X 1.5","65.1","75","85","","model-not-matched"
"5 X 110","CHEVROLET/GMC","MALIBU","2004 >","2004","2027","5 X 110","12 X 1.5","65.1","75","85","","make-not-in-db"
"5 X 110","PONTIAC","G5 GT","2007-08","2007","2008","5 X 110","12 X 1.5","65.1","75","85","","model-not-matched"
"5 X 110","SAAB","3-9 COR","1999 >","1999","2027","5 X 110","14 X 1.5","65.1","85","95","","model-not-matched"
"5 X 110","SAAB","43346","1999 >","1999","2027","5 X 110","14 X 1.5","65.1","85","95","","model-not-matched"
"5 X 110","SAAB","43348","1999 >","1999","2027","5 X 110","14 X 1.5","65.1","85","95","","model-not-matched"
"5 X 110","SAAB","5-9 COR","1999 >","1999","2027","5 X 110","14 X 1.5","65.1","85","95","","model-not-matched"
"5 X 110","SAAB","9 4","1993-98","1993","1998","5 X 110","12 X 1.5","65.1","75","85","","model-not-matched"
"5 X 110","SATURN","ASTRA","2008","2008","2008","5 X 110","12 X 1.5","65.1","75","85","","model-not-matched"
"5 X 110","SATURN","AURA XE, XR","2007-08","2007","2008","5 X 110","12 X 1.5","65.1","75","85","","model-not-matched"
"5 X 112","AUDI","5000 TURBO","1979-90","1979","1990","5 X 112","14 X 1.5b","57.1","85","95","","model-not-matched"
"5 X 112","AUDI","QUATTRO","1979-94","1979","1994","5 X 112","14 X 1.5b","57.1","85","95","","model-not-matched"
"5 X 112","AUDI","RS4","2007-08","2007","2008","5 X 112","14 X 1.5b","57.1","85","95","","model-not-matched"
"5 X 112","MAYBACH","57","2004-08","2004","2008","5 X 112","14 X 1.5b","66.5","85","95","","make-not-in-db"
"5 X 112","MAYBACH","57S","2004-08","2004","2008","5 X 112","14 X 1.5b","66.5","85","95","","make-not-in-db"
"5 X 112","MAYBACH","62","2004-08","2004","2008","5 X 112","14 X 1.5b","66.5","85","95","","make-not-in-db"
