id,year,make,model,trim,source,range,our_bolt,rk_bolt,bolt,our_bore,rk_bore,bore,our_stud,rk_stud,stud,rk_ref
"478e4435-39b3-49b2-a38f-62a0d1b8eebb","2002","isuzu","trooper","Base","api_import","tight","6x139.7","6x139.7","agree","106","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03"
"2fe89410-79aa-4303-af5b-2a32ca4940c7","1991","geo","metro","Base","generation_template","tight","4x100","4x114.3","disagree","54","59.6","disagree","M12x1.25","M10x1.25|M12x1.25","agree","GEO METRO 1989-94 ; GEO METRO 1989-97 ; GEO METRO CONV. 1990-93 ; GEO METRO CONV. 1991-93"
"21d2b16b-2018-404f-b422-0192c2b75279","2011","bmw","6-series","Base","verified-research [sizes-inherited]","tight","5x120","5x120","agree","72.6","74.1","disagree","","M12x1.5","ours-missing","BMW 6 SERIES 2004 >"
"3d06acec-a118-4dc5-9f0f-dd34b95d51db","1997","acura","cl","Base","90s-research-batch","tight","5x114.3","4x114.3","disagree","64.1","64.1","agree","M12x1.5","M12x1.5","agree","ACURA 2.2, 3.0 CL 1995 >"
"5d0f4337-e7c8-4a5b-98b3-828ecb1c9e1c","2000","jaguar","xj","Base","google-ai-overview","tight","5x120","5x120.7","disagree","72.6","74.1","disagree","M12x1.5","1/2","disagree","JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 1991-03 ; JAGUAR XJ, XK ALL MODELS 1963-03 ; JAGUAR XJ, XK ALL MODELS 2 1969-03"
"93974df1-721c-4d05-90b6-541ee229fd33","2002","jaguar","xj","Base","google-ai-overview","tight","5x120","5x120.7","disagree","72.6","74.1","disagree","M12x1.5","1/2","disagree","JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 1991-03 ; JAGUAR XJ, XK ALL MODELS 1963-03 ; JAGUAR XJ, XK ALL MODELS 2 1969-03"
"72134ac5-446a-4882-bdaa-449c39438e57","2003","jaguar","xj","Base","google-ai-overview","tight","5x120","5x120.7","disagree","72.6","74.1","disagree","M12x1.5","1/2","disagree","JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 1991-03 ; JAGUAR XJ, XK ALL MODELS 1963-03 ; JAGUAR XJ, XK ALL MODELS 2 1969-03"
"02b877a3-4d23-49e6-9414-51edf85b053a","2004","jaguar","xj","Supersport","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"325a7c82-869e-4882-8148-022cac40eb4b","2004","jaguar","xj","Vanden Plas","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"336d0a1a-118f-4fd4-8f3c-928d30dc5285","2004","jaguar","xj","XJ, XJL, XJR, Supersport","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"ed87c90d-5934-442e-a5ab-7f0dac6fac19","2004","jaguar","xj","XJ8","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"d73b5ae4-35a2-4526-9352-ad739217676f","2004","jaguar","xj","XJL","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"88e5ed4f-8142-4858-aa1d-09bd125cc032","2004","jaguar","xj","XJR","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"6ed2f0d7-193b-4a16-9478-f23ca876c298","2005","jaguar","xj","Super V8","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"32205f2f-40d2-4f37-875a-7ba43ec52815","2005","jaguar","xj","Supersport","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"4dccee8c-ef1c-47da-8f8a-ac167f309535","2005","jaguar","xj","Vanden Plas","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"cc53d052-fb22-4f47-ae3b-7f88535d8969","2005","jaguar","xj","XJ","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"2aa4960a-30ee-4dbb-901d-ceaee608874d","2005","jaguar","xj","XJ, XJL, XJR, Supersport","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"ee6ec132-3ab0-4f34-8718-02ffabc70be2","2005","jaguar","xj","XJ8","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"fffe8595-a6c5-4cdd-acec-375f6f09dc2d","2005","jaguar","xj","XJL","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"b1120c9f-882a-483e-a749-1bc5e95c8ce2","2005","jaguar","xj","XJR","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
