make,our_model,epa_trim,n_years,years,epa_model_example,our_trims_example
porsche,cayenne,gt,4,2022-2023 2025-2026,Cayenne Turbo GT Coupe,"S | Cayenne | Base, S, E-Hybrid, GTS, Turbo, Turbo S | Base | Turbo"
porsche,macan,t,4,2023-2026,Macan T,"Base, S, GTS, Turbo | Base | Macan | S | GTS"
porsche,panamera,4 e st,4,2018-2021,Panamera 4 e-Hybrid ST,4S Sport Turismo | Base | 4S | 4 E-Hybrid Sport Turismo | 4 Executive
porsche,panamera,s e st,4,2018-2021,Panamera Turbo S e-Hybrid ST,4S Sport Turismo | Base | 4S | 4 E-Hybrid Sport Turismo | 4 Executive
porsche,taycan,perf battery plus,4,2021-2023 2025,Taycan Perf Battery Plus,Taycan 4 | Taycan
porsche,taycan,gts,4,2022-2025,Taycan GTS,Taycan 4 | Taycan
ram,1500,hfe,4,2013-2016,1500 HFE 2WD,Sport | Laramie | SLT | Base | Laramie Longhorn
rollsroyce,phantom,ewb,4,2017 2019-2021,Phantom EWB,8th Gen (VIII) | Flagship
saab,9-5,sportcombi,4,2006-2009,9-5 SportCombi,Base | LS
subaru,crosstrek,xv,4,2013-2016,XV Crosstrek AWD,"Base, Premium, Sport, Limited, Wilderness | 2.0i | Wilderness | Premium | Sport"
subaru,impreza,impreza outback spt,4,2003-2004 2007-2008,Impreza Wagon/Outback SPT AWD,"Base, Premium, Sport, Limited | Base | 2.0i | Sport | Limited"
suzuki,kizashi,s,4,2010-2013,Kizashi S,Base | Standard
suzuki,sx4,sport,4,2009-2010 2012-2013,SX4 Sport,Base | LS
toyota,bz4x,limited,4,2023-2026,bZ4X LIMITED,Base | Premium
toyota,mirai,limited,4,2021-2024,Mirai Limited,Base | Sport
toyota,tacoma,d mt trd orp pro,4,2020-2023,Tacoma 4WD D-CAB MT TRD-ORP/PRO,Limited | 3rd Gen | TRD Pro | TRD Sport | SR5
volkswagen,eurovan,camper,4,2000-2003,Eurovan Camper,Base | Standard
volvo,s60,b5,4,2022-2025,S60 B5,"Momentum | Standard | R-Design | Momentum, R-Design, Inscription, Polestar Engineered | Inscription"
volvo,s60,t8,4,2022-2025,S60 T8 AWD Recharge,"Momentum | Standard | R-Design | Momentum, R-Design, Inscription, Polestar Engineered | Inscription"
volvo,s90,b6,4,2022-2025,S90 B6 AWD,"Momentum | Momentum, R-Design, Inscription | R-Design | Inscription"
volvo,v60,v60cc b5,4,2023-2026,V60CC B5 AWD,Base | Standard
volvo,v90,v90cc b6,4,2022-2025,V90CC B6 AWD,B4 MHEV | Momentum
volvo,xc90,b5,4,2023-2026,XC90 B5 AWD,"Momentum | Premium | R-Design | Momentum, R-Design, Inscription, Polestar Engineered | Inscription"
volvo,xc90,b6,4,2023-2026,XC90 B6 AWD,"Momentum | Premium | R-Design | Momentum, R-Design, Inscription, Polestar Engineered | Inscription"
acura,cl-type-s,3 2cl,3,2001-2003,3.2CL,Base | Standard
acura,tlx,type s perf tire,3,2021-2023,TLX Type-S Perf Tire,"Base | Standard | Technology | Base, Technology, A-Spec, Advance, Type S | A-Spec"
astonmartin,vantage,v12 s,3,2015-2017,V12 Vantage S,V8/V12 Vantage (2nd Gen) | Premium
bentley,continental-gt,gt speed,3,2022-2023 2025,Continental GT Speed Convertible,3rd Gen | Performance
bmw,3-series,335d,3,2009-2011,335d,330i xDrive | 328i | LS | 335i | 330i
bmw,3-series,335is,3,2011-2013,335is Convertible,330i xDrive | 335i | 330i | Base | LS
bmw,3-series,activehybrid 3,3,2013-2015,ActiveHybrid 3,Base | 330i | 320i xDrive | 328i xDrive | 330i xDrive
bmw,4-series,428i,3,2014-2016,428i Coupe,Base | Standard
bmw,4-series,435i,3,2014-2016,435i Coupe,Base | Standard
bmw,4-series,430i,3,2020-2022,430i Convertible,Base | Standard
bmw,4-series-gran-coupe,430i,3,2017 2019 2026,430i Convertible,Base | Standard
bmw,5-series,528i,3,2000 2008-2009,528i,Base | LS | M5 | 540i | 530i
bmw,5-series,525i,3,2001-2003,525i,M5 | 530i | Base | LS | 540i
bmw,5-series,535d,3,2014-2016,535d,535i xDrive | 530i | 528i xDrive | M5 | 528i
bmw,7-series,745e,3,2020-2022,745e xDrive,"740i, 750i, M760i | Premium | 740i | M760i | 750i"
bmw,i4,xdrive40,3,2024-2026,i4 xDrive40 Gran Coupe (18 inch Wheels),Base | Premium
bmw,i5,edrive40,3,2024-2026,i5 eDrive40 Sedan (19 inch Wheels),Base | Sport
bmw,i5,m60,3,2024-2026,i5 M60 xDrive Sedan (19 inch Wheels),Base | Sport
bmw,i7,edrive50,3,2024-2026,i7 eDrive50 Sedan (19 inch Wheels),Base | Luxury
bmw,i7,m70,3,2024-2026,i7 M70 xDrive Sedan (20 inch Wheels),Base | Luxury
bmw,ix,m60,3,2023-2025,iX M60 (21 inch wheels),Base | Performance
bmw,x5,4 8is,3,2004-2006,X5 4.8IS,Base | Standard
bmw,x5-m,xdrivem,3,2010-2012,X5 xDriveM,Base | Luxury
bmw,x5-m,xdrive35i,3,2011-2013,X5 xDrive35i,Base | Luxury
bmw,x5-m,xdrive50i,3,2011-2013,X5 xDrive50i,Base | Luxury
bmw,x5-m,m60i,3,2024-2026,X5 M60i xDrive,Base | xDrive50e
bmw,x6-m,xdrivem,3,2010-2012,X6 xDriveM,Base | Luxury
bmw,x6-m,sdrive35i,3,2015-2016 2019,X6 sDrive35i,Base | Luxury
bmw,x7,m50i,3,2020-2022,X7 M50i,Base | xDrive60e
bmw,x7,m60i,3,2023 2025-2026,X7 M60i xDrive,Base | xDrive60e
cadillac,escalade-esv,ext,3,2004 2011 2013,Escalade Ext AWD,"Luxury, Premium Luxury, Sport, Platinum, V | Base | Standard | Platinum | Luxury"
chevrolet,cruze,premier,3,2016-2017 2019,Cruze Premier,LS | LT | LTZ | Eco
chevrolet,impala,limited,3,2014-2016,Impala Limited,"LS, LT, Premier | Base | Standard | LT | LS"
chevrolet,silverado-2500hd,xfe,3,2010 2013 2019,Silverado C15 XFE 2WD,LTZ | LT | Base | WT | Z71
chevrolet,silverado-2500hd,mud terrain tires,3,2022 2024 2026,Silverado Mud Terrain Tires 4WD,LTZ | WT | ZR2 Bison | ZR2 | High Country
chevrolet,silverado-3500hd,xfe,3,2009 2011-2012,Silverado C15 XFE 2WD,LTZ | WT | LT | Base
dodge,dart,gt,3,2014-2016,Dart GT,Base | LS
ford,expedition,el,3,2015-2017,Expedition EL 2WD,XLT | Standard | XL | Limited | King Ranch
ford,expedition,max,3,2019-2021,Expedition MAX 2WD,"XL, XLT, Limited, King Ranch, Platinum, Timberline | XLT | Limited | King Ranch | Platinum"
ford,f-150,2 7l gvwr 6649 lbs,3,2017-2019,F150 2.7L 2WD GVWR>6649 LBS,Lariat | King Ranch | Platinum | Limited | Base
ford,f-150,2 7l gvwr 6799 lbs,3,2017-2019,F150 2.7L 4WD GVWR>6799 LBS,Lariat | King Ranch | Platinum | Limited | Base
ford,f-150,payload lt,3,2018-2020,F150 2WD FFV BASE PAYLOAD LT,Limited | Platinum | Raptor | King Ranch 4x2 | King Ranch 4x4
ford,f-150,raptor 37,3,2021-2023,F150 RAPTOR 37 4WD,XL | Platinum | Lariat | Tremor | Limited
ford,f-150,extended range,3,2022-2024,F-150 Lightning 4WD Extended Range,Tremor | 2.7 EcoBoost | XL | XLT | King Ranch
ford,mustang-mach-e,gt performance,3,2021-2023,Mustang Mach-E GT Performance,Base | GT
ford,mustang-mach-e,rally,3,2024-2026,Mustang Mach-E Rally,Base | GT
gmc,canyon,mud terrain tires,3,2023-2024 2026,Canyon Mud Terrain Tires 4WD,"AT4 | Standard | AT4X | Denali | Elevation, AT4, AT4X, Denali"
gmc,canyon,at4x aev,3,2024-2026,Canyon AT4X AEV 4WD,"AT4X | Standard | Elevation, AT4, AT4X, Denali | Base | Elevation"
gmc,sierra-3500hd,15,3,2005 2009 2018,Sierra 15 Hybrid 2WD,Base | LS | SLT | SLE
gmc,yukon,xl 2500,3,2011-2013,Yukon XL 2500 2WD,"SLT | Standard | SLE | SLE, SLT, AT4, Denali, Denali Ultimate | Base"
honda,accord,2 0t sport,3,2018-2020,Accord 2.0T Sport/Touring,LX | Sport | EX | EX-L | Touring
honda,civic,hx,3,2000-2002,Civic HX,"LX, Sport, EX, EX-L, Touring, Si | Standard | LX | Sport | EX"
hyundai,santa-fe,sport ultimate,3,2015-2017,Santa Fe Sport Ultimate FWD,"Base | SE | SEL | SE, SEL, XRT, Limited, Calligraphy | XRT"
hyundai,santa-fe,blue,3,2021-2023,Santa Fe Hybrid Blue,"Base | SE, SEL, XRT, Limited, Calligraphy | SE | SEL | XRT"
hyundai,sonata,sport limited,3,2015-2017,Sonata Sport Limited,SEL Plus | SE | SEL | Limited | N Line
hyundai,veloster,n,3,2019-2021,Veloster N,Base | Standard
infiniti,q50,q50s,3,2014-2016,Q50S Hybrid,"Pure | Sensory | Pure, Luxe, Sensory, Red Sport 400 | Luxe | Red Sport 400"
isuzu,rodeo,sport,3,2001-2003,Rodeo Sport 2WD,Base | LS
jaguar,f-pace,p340 mhev,3,2021-2023,F-Pace P340 MHEV,Premium | S | SVR | Prestige | R-Dynamic
jaguar,f-type,p450,3,2022-2024,F-Type P450 RWD Coupe,Base | S
jaguar,f-type,p450 r dynamic,3,2022-2024,F-Type P450 AWD R-Dynamic Coupe,Base | S
jeep,gladiator,ecodiesel,3,2021-2023,Gladiator EcoDiesel 4WD,3.6 Pentastar | Sport | High Altitude | Overland | Base
jeep,grand-wagoneer,l,3,2023-2025,Grand Wagoneer L 4WD,Base | Luxury | Standard
jeep,wagoneer,l,3,2023-2025,Wagoneer L 2WD,Base | Luxury
jeep,wrangler,ecodiesel,3,2021-2023,Wrangler 4dr EcoDiesel 4WD,Willys Sport | Sport | Rubicon 392 | Rubicon | 4xe
jeep,wrangler,rubic ecodiesel,3,2021-2023,Wrangler Rubic 4dr EcoDiesel 4WD,Willys Sport | Sport | Rubicon 392 | Rubicon | 4xe
kia,ev9,long range,3,2024-2026,EV9 Long Range RWD,Base | Standard
kia,ev9,standard range,3,2024-2026,EV9 Standard Range RWD,Base | Standard
kia,ev9,long range gt line,3,2024-2026,EV9 Long Range AWD GT-Line,Base | Standard
kia,sorento,fe,3,2016-2018,Sorento FE AWD,SX Prestige | LX | S | SX | X-Line
kia,sportage,fe,3,2017-2019,Sportage FE FWD,"LX | LX, EX, SX, SX Turbo, X-Line, X-Pro | Base | X-Line | EX"
landrover,defender,130 outbound,3,2024-2026,Defender 130 Outbound,90 | 110 | 130 | S | X
landrover,range-rover,velar p340 mhev,3,2021 2023 2025,Range Rover Velar P340 MHEV,"Autobiography | Luxury | SV Autobiography | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | SE"
landrover,range-rover,velar p400 mhev,3,2021 2023 2025,Range Rover Velar P400 MHEV,"Autobiography | Luxury | SV Autobiography | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | SE"
landrover,range-rover,p400 mhev,3,2022 2024-2025,Range Rover P400 MHEV,"SE | HSE | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | Autobiography | SV Autobiography"
landrover,range-rover-sport,sport p360 mhev,3,2022 2024 2026,Range Rover Sport P360 MHEV,HSE | Luxury | Autobiography Dynamic | SE | HSE Dynamic
landrover,range-rover-sport,sport p400 mhev,3,2022 2024 2026,Range Rover Sport P400 MHEV,HSE | Luxury | Autobiography Dynamic | SE | HSE Dynamic
landrover,range-rover-velar,velar p340 mhev,3,2022 2024 2026,Range Rover Velar P340 MHEV,Base | Luxury | Sport
landrover,range-rover-velar,velar p400 mhev,3,2022 2024 2026,Range Rover Velar P400 MHEV,Base | Luxury | Sport
lexus,nx,200t,3,2015-2017,NX 200t,"NX 250, NX 350, NX 350h, NX 450h+, F Sport | Standard | NX 350h | NX 450h+ | NX 250"
lexus,nx,200t f sport,3,2015-2017,NX 200t AWD F Sport,"NX 250, NX 350, NX 350h, NX 450h+, F Sport | Standard | NX 350h | NX 450h+ | NX 250"
lexus,rx,330,3,2004-2006,RX 330 2WD,"RX 350, RX 350L, RX 450h, RX 500h, F Sport | Standard | RX 350 | RX 350L | RX 450h"
lexus,rx,400h,3,2006-2008,RX 400h 2WD,"RX 350L | Standard | RX 350, RX 350L, RX 450h, RX 500h, F Sport | RX 350 | RX 450h"
maserati,ghibli,trofeo,3,2021-2023,Ghibli Trofeo,M157 (3rd Gen) | Premium
maserati,granturismo,trofeo,3,2024-2026,GranTurismo Trofeo,M175 (2nd Gen) | Luxury
maserati,levante,gts,3,2019-2021,Levante GTS,M161 | Sport
maserati,quattroporte,trofeo,3,2021-2023,Quattroporte Trofeo,M156 (6th Gen) | Sport
mazda,mazda6,5 door,3,2019-2021,3 5-Door 2WD,Base | Sport | Grand Touring | Signature | Touring
mercedesbenz,a-class-amg,amg a35,3,2020-2022,AMG A35 4matic,Base | Premium
mercedesbenz,amg-gt,55 plus,3,2024-2026,AMG GT 55 4matic Plus (coupe),AMG GT C | Sport | AMG GT R | AMG GT R Pro | AMG GT Black Series
mercedesbenz,cl-class,cl55 amg,3,2001-2002 2004,CL55 AMG,Base | Premium
mercedesbenz,cl-class,cl600,3,2001-2002 2004,CL600,Base | Premium
mercedesbenz,cl-class-amg,cl500,3,2003 2005-2006,CL500,Base | Sport
mercedesbenz,cl-class-amg,cl55 amg,3,2003 2005-2006,CL55 AMG,Base | Sport
mercedesbenz,e-class,e320,3,2000-2002,E320,"Base | LS | E53 AMG | E 450 | E300, E350, E450, E53 AMG, E63 AMG"
mercedesbenz,e-class-amg,e550,3,2007-2009,E550,Base | E 450 | Premium
mercedesbenz,e-class-amg,e320 bluetec,3,2007-2009,E320 Bluetec,Base | E 450 | Premium
mercedesbenz,e-class-amg,amg e63 s plus,3,2020-2021 2023,AMG E63 S 4matic Plus,Base | E 450 | Premium
mercedesbenz,eqb,300,3,2022 2024-2025,EQB 300 4matic,Base | Premium
mercedesbenz,eqe,amg plus,3,2024-2026,AMG EQE 4matic Plus (SUV),Base | Sport | EQE350+ | EQE500 4MATIC | Luxury
mercedesbenz,eqs,amg plus,3,2022 2024-2025,AMG EQS 4matic Plus,Base | Performance | AMG EQS53 | Flagship | Luxury
mercedesbenz,eqs,680 maybach,3,2024-2026,EQS 680 4matic Maybach (SUV),Base | Performance | EQS580 4MATIC | EQS450+ | Luxury
mercedesbenz,g-class,g550,3,2011 2013 2016,G550,Base | Premium | AMG CLA 35
mercedesbenz,gle,amg gle63 s,3,2016-2017 2019,AMG GLE63 S,GLE43 AMG | GLE 450 | GLE 350d 4MATIC | GLE 350d | Premium
mercedesbenz,gle,gle400,3,2016-2017 2019,GLE400 4matic,GLE43 AMG | GLE 450 | GLE 350d 4MATIC | GLE 350d | Premium
mercedesbenz,glk-class,glk250 bluetec,3,2013-2015,GLK250 Bluetec 4matic,Base | Standard
mercedesbenz,m-class-amg,ml55 amg,3,2001-2003,ML55 AMG,Base | Luxury | Performance
mercedesbenz,s-class,s65 amg,3,2008 2010 2013,S65 AMG,S63 AMG | S 500 | S500 | Premium | Base
mercedesbenz,s-class-amg,maybach s680,3,2023-2025,Maybach S680 4matic,Base | S 580 | Premium
mercedesbenz,sl-class,sl500,3,2000-2001 2005,SL500,Base | Premium | LS
mercedesbenz,sl-class,sl600,3,2000-2001 2005,SL600,Base | Premium | LS
mercedesbenz,sl-class-amg,sl63 amg,3,2009 2011-2012,SL63 AMG,Base | AMG CLA 35 | Premium
mercedesbenz,sl-class-amg,amg sl63 plus,3,2022 2024-2025,AMG SL63 4matic Plus,Base | AMG CLA 35 | Premium
mercedesbenz,sl-class-amg,amg sl55 plus,3,2022 2024-2025,AMG SL55 4matic Plus,Base | AMG CLA 35 | Premium
mercedesbenz,slc-class,slc300,3,2017 2019-2020,SLC300,Base | Standard | C 300
mercedesbenz,slc-class,amg slc43,3,2017 2019-2020,AMG SLC43,Base | Standard | C 300
mercedesbenz,slk-class-amg,slk32 amg,3,2002-2004,SLK32 AMG,Base | CLA 250 AMG Line | Premium
mercedesbenz,slk-class-amg,slk320,3,2002-2004,SLK320,Base | CLA 250 AMG Line | Premium
nissan,frontier,pro4x,3,2023-2025,Frontier 4WD PRO4X,Base | Standard
porsche,911,gt2,3,2002 2008-2009,911 GT2,"Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | Carrera | Carrera 4S | GT3"
porsche,911,carrera 4 targa,3,2010-2012,911 Carrera 4 Targa,"Turbo S | Carrera | Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | GT3"
porsche,911,carrera 4s targa,3,2010-2012,911 Carrera 4S Targa,"Turbo S | Carrera | Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | GT3"
porsche,911,speedster,3,2011-2012 2019,911 Speedster,"Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | Carrera | Turbo S | GT3"
porsche,boxster,cayman gt4,3,2020-2022,718 Cayman GT4,"Spyder | Standard | Base, S, GTS, Spyder | Base | S"
porsche,macan,4,3,2024-2026,Macan 4 Electric,"S | Base | GTS | Turbo | Base, S, GTS, Turbo"
porsche,panamera,st,3,2018-2020,Panamera Turbo ST,4S Sport Turismo | Base | 4S | 4 E-Hybrid Sport Turismo | 4 Executive
porsche,panamera,4 e executive,3,2019-2021,Panamera 4 e-Hybrid Executive,Base | Panamera | 4 | 4S | GTS
porsche,panamera,s e executive,3,2019-2021,Panamera Turbo S e-Hybrid Executive,Base | Panamera | 4 | 4S | GTS
porsche,panamera,4s e,3,2021 2023 2025,Panamera 4S e-Hybrid,"Base, 4, 4S, GTS, Turbo, Turbo S | Base | Panamera | 4 | 4S"
porsche,taycan,4s performance battery,3,2023-2025,Taycan 4S Performance Battery,Taycan 4 | Taycan
porsche,taycan,gts sport turismo,3,2023-2025,Taycan GTS Sport Turismo,Taycan 4 | Taycan
porsche,taycan,performance battery,3,2023-2025,Taycan Performance Battery,Taycan 4 | Taycan
rivian,r1s,all terrain dual large,3,2024-2026,R1S All-Terrain Dual Large (20in),1st Gen | Adventure
rivian,r1s,all terrain dual max,3,2024-2026,R1S All-Terrain Dual Max (20in),1st Gen | Adventure
rivian,r1s,all terrain performance dual large,3,2024-2026,R1S All-Terrain Performance Dual Large (20in),1st Gen | Adventure
rivian,r1s,all terrain performance dual max,3,2024-2026,R1S All-Terrain Performance Dual Max (20in),1st Gen | Adventure
rivian,r1s,dual large,3,2024-2026,R1S Dual Large (21in),1st Gen | Adventure
rivian,r1s,dual max,3,2024-2026,R1S Dual Max (21in),1st Gen | Adventure
rivian,r1s,dual standard,3,2024-2026,R1S Dual Standard (21in),1st Gen | Adventure
rivian,r1s,performance dual large,3,2024-2026,R1S Performance Dual Large (21in),1st Gen | Adventure
rivian,r1s,performance dual max,3,2024-2026,R1S Performance Dual Max (21in),1st Gen | Adventure
rivian,r1t,all terrain dual large,3,2024-2026,R1T All-Terrain Dual Large (20in),1st Gen | Adventure
rivian,r1t,all terrain dual max,3,2024-2026,R1T All-Terrain Dual Max (20in),1st Gen | Adventure
rivian,r1t,all terrain performance dual large,3,2024-2026,R1T All-Terrain Performance Dual Large (20in),1st Gen | Adventure
rivian,r1t,all terrain performance dual max,3,2024-2026,R1T All-Terrain Performance Dual Max (20in),1st Gen | Adventure
rivian,r1t,dual large,3,2024-2026,R1T Dual Large (21in),1st Gen | Adventure
rivian,r1t,dual max,3,2024-2026,R1T Dual Max (21in),1st Gen | Adventure
rivian,r1t,dual standard,3,2024-2026,R1T Dual Standard (21in),1st Gen | Adventure
rivian,r1t,performance dual large,3,2024-2026,R1T Performance Dual Large (21in),1st Gen | Adventure
rivian,r1t,performance dual max,3,2024-2026,R1T Performance Dual Max (21in),1st Gen | Adventure
saab,9-3,viggen,3,2000-2002,9-3 Viggen Convertible,Base | LS
saab,9-3,9 3x sportcombi,3,2010-2012,9-3X SportCombi AWD,Base | LS
saturn,l-series,lw200,3,2001-2003,LW200,Base | Standard
subaru,solterra,limited,3,2023-2025,Solterra Limited/Touring AWD,Base | Premium
subaru,wrx,5 door,3,2019 2022-2023,Impreza 5-Door,"GT | Premium | Base, Premium, Limited, GT | Base | Limited"
subaru,wrx,sport 5 door,3,2019 2022-2023,Impreza Sport 5-Door,"GT | Premium | Base, Premium, Limited, GT | Base | Limited"
subaru,wrx-sti,5 door,3,2018 2020-2021,Impreza 5-Door,Base | Type RA | Limited
subaru,wrx-sti,sport 5 door,3,2018 2020-2021,Impreza Sport 5-Door,Base | Type RA | Limited
tesla,model-3,mid range,3,2018-2020,Model 3 Mid Range,Long Range | Performance | Base
tesla,model-3,long range,3,2019 2024-2025,Model 3 Long Range,1st Gen | Standard Range | Base
tesla,model-3,standard range plus,3,2019-2021,Model 3 Standard Range Plus,1st Gen | Standard Range | Base
tesla,model-s,90d,3,2015-2017,Model S AWD - 90D,1st Gen | Long Range | Base
tesla,model-s,p90d,3,2015-2017,Model S AWD - P90D,1st Gen | Long Range | Base
tesla,model-s,75d,3,2016-2017 2019,Model S AWD - 75D,1st Gen | 70 | Long Range | Base
tesla,model-s,p100d,3,2016-2017 2019,Model S AWD - P100D,1st Gen | 70 | Long Range | Base
tesla,model-s,performance,3,2019-2021,Model S Performance (19in Wheels),Base | Long Range | 1st Gen
tesla,model-x,75d,3,2016-2017 2019,Model X AWD - 75D,1st Gen | Long Range | Base
tesla,model-x,p100d,3,2016-2017 2019,Model X AWD - P100D,1st Gen | Long Range | Base
tesla,model-x,performance,3,2019-2021,Model X Performance (22in Wheels),1st Gen | Long Range | Base
tesla,model-x,plaid,3,2023-2024 2026,Model X Plaid (20 inch wheels),Base | Long Range | Refresh (2nd Gen)
toyota,grand-highlander,limited,3,2024-2026,Grand Highlander Hybrid Limited,Base | LE | XLE
toyota,grand-highlander,limited platinum,3,2024-2026,Grand Highlander AWD Limited/Platinum,Base | LE | XLE
toyota,highlander,le xle se ltd,3,2017-2019,Highlander LE/XLE/SE/LTD,LE Plus | LE | SE | Sport | Hybrid XLE
toyota,tacoma,mt,3,2024-2026,Tacoma 4WD MT,SR5 | 4th Gen | TRD Off-Road | TRD Sport | Limited
volkswagen,atlas,peak edition,3,2024-2026,Atlas 4motion Peak Edition,Cross Sport | S | SE w/Tech | SE | SEL
volvo,ec40,twin,3,2024-2026,C40 Recharge twin,Base | Sport
volvo,s80,s80 executive,3,2001-2003,S80/S80 Executive,Base | Standard
volvo,v60,polestar,3,2015-2017,V60 PoleStar AWD,Base | Standard
volvo,xc40,twin,3,2022-2023 2025,XC40 Recharge twin,B4 MHEV | Standard
astonmartin,vantage,gt,2,2015-2016,Vantage GT,V8/V12 Vantage (2nd Gen) | Premium
audi,q5,tfsi e,2,2022-2023,Q5 TFSI e quattro,"Premium Plus | Premium | SQ5 | Premium, Premium Plus, Prestige, SQ5, SQ5 Sportback | Base"
audi,q5,tfsi,2,2025-2026,Q5 TFSI quattro,"Premium, Premium Plus, Prestige, SQ5, SQ5 Sportback | Base | Premium | SQ5 | Premium Plus"
audi,rs-models,7,2,2021-2022,RS 7,Base | Sport
audi,rs-models,5,2,2022-2023,RS 5 Coupe,Base | Sport
audi,rs-models,performance,2,2025-2026,RS Q8 Performance,Base | Sport
bentley,bentayga,speed,2,2022-2023,Bentayga Speed,1st Gen (2020 Facelift) | Luxury
bentley,continental-gt,gtc,2,2024-2025,Continental GTC,3rd Gen | Performance
bmw,2-series,m240i m performance,2,2019-2020,M240i Coupe M Performance,Base | LS
bmw,2-series,228,2,2025-2026,228 xDrive Gran Coupe,Base | Standard
bmw,2-series,m235,2,2025-2026,M235 xDrive Gran Coupe,Base | Standard
bmw,3-series,328cxi,2,2007-2008,328cxi,328i | LS | 328i Sport Package | 328i w/Sport Pkg | E90
bmw,3-series,328xi,2,2007-2008,328xi,328i | LS | 328i Sport Package | 328i w/Sport Pkg | E90
bmw,3-series,335xi,2,2007-2008,335xi,328i | LS | 328i Sport Package | 328i w/Sport Pkg | E90
bmw,3-series,330e,2,2016-2017,330e,340i xDrive | 330i | 328i xDrive | 320i xDrive | Base
bmw,4-series-gran-coupe,440i,2,2017 2019,440i Convertible,Base | Standard
bmw,5-series,545i,2,2004-2005,545i,Base | LS | M5 | 550i | 530i M Sport
bmw,5-series,525xi,2,2006-2007,525xi,M5 | 530i | 550i | 530i M Sport | Base
bmw,5-series,530xi,2,2006-2007,530xi,M5 | 530i | 550i | 530i M Sport | Base
bmw,5-series,550e,2,2025-2026,550e xDrive Sedan,Base | 530i M Sport | i5 M60 xDrive | i5 xDrive40 | M5
bmw,6-series,645ci,2,2004-2005,645ci,Base | Premium | Standard
bmw,7-series,740i,2,2019 2026,740i,740e | Premium
bmw,7-series,750e,2,2025-2026,750e xDrive Sedan,740i sDrive | 750i
bmw,i5,xdrive40,2,2025-2026,i5 xDrive40 Sedan (19 inch Wheels),Base | Sport
bmw,ix,xdrive40,2,2024-2025,iX xDrive40 (20 inch Wheels),Base | Performance
bmw,m2,m2 cs,2,2020 2026,M2 CS Coupe,Base | Sport
bmw,x3,3 0si,2,2007-2008,X3 3.0si,Base | Standard
bmw,x3,xdrive30i,2,2009-2010,X3 xDrive30i,Base | Standard
bmw,x5,4 6is,2,2002-2003,X5 4.6is,Base | Standard
bmw,x5,3 0si,2,2007-2008,X5 3.0si,Base | Premium
bmw,x5,4 8i,2,2007-2008,X5 4.8i,Base | Premium
bmw,x5-m,xdrive30i,2,2009-2010,X5 xDrive30i,Base | Luxury
bmw,x5-m,xdrive48i,2,2009-2010,X5 xDrive48i,Base | Luxury
bmw,x6-m,sdrive40i,2,2020-2021,X6 sDrive40i,Base | Performance | Competition
bmw,x7,xdrive50i,2,2019-2020,X7 xDrive50i,Base | xDrive60e
bmw,xm,label,2,2025-2026,XM Label,Base | Ultimate
chevrolet,blazer,ss,2,2025-2026,Blazer EV AWD SS,Base | LT | Premier | RS | LS
chevrolet,blazer,22 inch tire,2,2025-2026,Blazer EV FWD 22 inch tire,Base | LT | Premier | RS | LS
chevrolet,colorado,zr2 bison,2,2024 2026,Colorado ZR2 Bison 4WD,"Z71 | Standard | WT | WT, LT, Z71, ZR2, Trail Boss | Base"
chevrolet,impala,bi fuel,2,2015-2016,Impala Bi-Fuel  (CNG),"Premier | Standard | LS, LT, Premier | Base | LT"
chevrolet,malibu,eassist,2,2013-2014,Malibu eAssist,"RS | Standard | LS, RS, LT, Premier | Base | LS"
chevrolet,silverado-1500,mud terrain tires,2,2023 2025,Silverado Mud Terrain Tires 4WD,LT Trail Boss | Trail Boss | Custom | LTZ | Custom Trail Boss
chevrolet,silverado-2500hd,trailboss,2,2019-2020,Silverado K10 4WD TrailBoss,Base | High Country | WT | Z71 | LT
chrysler,300,300 8,2,2009-2010,300/SRT-8,Limited | Touring | Base
chrysler,300c,300 8,2,2007-2008,300/SRT-8,Base | Touring L | SRT8 | 300S | RWD
dodge,challenger,srt8,2,2015-2016,Challenger SRT8,GT | gt | R/T | rt | SRT Hellcat
dodge,charger,srt8,2,2015-2016,Charger SRT8,Scat Pack | scat-pack | R/T | SXT AWD | sxt-awd
dodge,charger,daytona r t 255 45r20,2,2025-2026,Charger Daytona R/T AWD 255/45R20,Daytona Scat Pack | R/T | Base | Sport | Daytona R/T
dodge,charger,daytona scat pack 325 35zr20 rear a s,2,2025-2026,Charger Daytona Scat Pack AWD 325/35ZR20 Rear A/S,Daytona Scat Pack | R/T | Base | Sport | Daytona R/T
dodge,charger,daytona r t 245 55zr18,2,2025-2026,Charger Daytona R/T AWD 245/55ZR18,Daytona Scat Pack | R/T | Base | Sport | Daytona R/T
