make,model,years,n_rows,ymm_exact,ymm_family,ymm_crossmake,ymm_none,none_years
infiniti,q70l,2018,2,1,0,0,0,
infiniti,qx30,2018,6,1,0,0,0,
isuzu,oasis,1996-1999,4,4,0,0,0,
isuzu,trooper,1990-2002,13,13,0,0,0,
isuzu,rodeo,1991-2004,14,14,0,0,0,
isuzu,amigo,1990-1994 1998-1999,7,7,0,0,0,
isuzu,axiom,2002-2004,3,3,0,0,0,
isuzu,vehicross,1999,1,1,0,0,0,
jaguar,xk,2007-2015,9,9,0,0,0,
jaguar,xj6,1990-1997,8,8,0,0,0,
jaguar,xjs,1990-1996,7,7,0,0,0,
jaguar,s-type,2000-2008,9,9,0,0,0,
jaguar,xj220,1992-1994,3,0,3,0,0,
jaguar,xk8,1997-1999,3,3,0,0,0,
jaguar,xj8,1998-1999,2,2,0,0,0,
jaguar,xjr575,2018,1,1,0,0,0,
jeep,grand-cherokee,1993-2026,413,34,0,0,0,
jeep,compass,2007-2026,130,20,0,0,0,
jeep,wrangler,1996 2000-2026,155,28,0,0,0,
jeep,grand-wagoneer,2022-2025,8,4,0,0,0,
jeep,wrangler-jk,2018,20,1,0,0,0,
jeep,liberty,2002-2012,55,11,0,0,0,
jeep,wagoneer,2022-2025,4,4,0,0,0,
jeep,patriot,2007-2017,44,11,0,0,0,
karma,revero,2018,2,1,0,0,0,
kia,ev6,2022-2026,30,5,0,0,0,
kia,telluride,2020-2026,43,7,0,0,0,
kia,sportage,2000-2026,155,27,0,0,0,
kia,sedona,2002-2021,43,20,0,0,0,
kia,soul-ev,2018,3,1,0,0,0,
kia,optima,2001-2020,46,20,0,0,0,
kia,niro,2017-2026,52,10,0,0,0,
kia,seltos,2021-2026,11,6,0,0,0,
kia,k5,2021-2026,10,6,0,0,0,
kia,spectra5,2005-2009,5,5,0,0,0,
kia,carnival,2026,5,1,0,0,0,
kia,rio,2018,3,1,0,0,0,
kia,ev9,2024-2026,3,3,0,0,0,
kia,forte5,2018,3,1,0,0,0,
kia,cadenza,2018,3,1,0,0,0,
lamborghini,urus,2019-2026,8,8,0,0,0,
lamborghini,aventador,2011-2017 2019-2022,11,11,0,0,0,
landrover,range-rover,1990-1999 2002-2025,154,34,0,0,0,
landrover,discovery,1994-1999 2005-2025,116,27,0,0,0,
lexus,ls,1990-2017 2019-2026,144,36,0,0,0,
lexus,nx,2015-2017 2019-2026,66,11,0,0,0,
lexus,rc-f,2015-2025,21,11,0,0,0,
lexus,es,1990-2017 2019-2026,180,36,0,0,0,
lexus,rx,1999-2017 2019-2026,162,27,0,0,0,
lexus,gs-f,2018,1,1,0,0,0,
lexus,sc300,1992-1999,8,8,0,0,0,
lexus,sc400,1992-1999,8,8,0,0,0,
lexus,gs,1993-2017 2019-2020,120,27,0,0,0,
lexus,rc,2015-2017 2019-2025,10,10,0,0,0,
lexus,ux,2019-2026,14,8,0,0,0,
lexus,lx,1996-1999 2008-2017 2019-2026,110,22,0,0,0,
lexus,ls400,1990-1999,10,10,0,0,0,
lexus,nx300,2018,2,1,0,0,0,
lexus,es300,1992-1999,8,8,0,0,0,
lexus,gs300,1993-1999 2018,10,8,0,0,0,
lexus,lx450,1996-1997,2,2,0,0,0,
lexus,gs450h,2018,3,1,0,0,0,
lexus,rc300,2018,5,1,0,0,0,
lexus,rc350,2018,5,1,0,0,0,
lexus,rx300,1999,1,1,0,0,0,
lexus,is350,2018,5,1,0,0,0,
lexus,gx460,2018,3,1,0,0,0,
lexus,ls500,2018,2,1,0,0,0,
lexus,gs350,2018,3,1,0,0,0,
lexus,es350,2018,1,1,0,0,0,
lexus,es300h,2018,1,1,0,0,0,
lexus,is300,2018,5,1,0,0,0,
lexus,ls500h,2018,1,1,0,0,0,
lexus,lx570,2018,1,1,0,0,0,
lexus,nx300h,2018,1,1,0,0,0,
lexus,rx350,2018,2,1,0,0,0,
lexus,rx450h,2018,2,1,0,0,0,
lexus,rx350l,2018,1,1,0,0,0,
lexus,rx450hl,2018,1,1,0,0,0,
lexus,lc500,2018,1,1,0,0,0,
lexus,lc500h,2018,1,1,0,0,0,
